Symbol,Name,Market Cap,Country,Volume,Sector,Industry,,,,,,,,,Symbol,Sector,
ABMD,ABIOMED Inc. Common Stock,15571773152,United States,510320,Health Care,Medical/Dental Instruments,,,,,,,,,ABMD,Health Care,
ABNB,Airbnb Inc. Class A Common Stock,1.02E+11,United States,2141817,Capital Goods,Industrial Machinery/Components,,,,,,,,,ABNB,Capital Goods,
ABOS,Acumen Pharmaceuticals Inc. Common Stock,582740453,United States,45256,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,,,ABOS,Health Care,
ABSI,Absci Corporation Common Stock,1323568432,United States,134951,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,,,ABSI,Health Care,
ABST,Absolute Software Corporation Common Stock,558505365,Canada,32431,,,,,,,,,,,ABST,,
ABTX,Allegiance Bancshares Inc. Common Stock,781502274,United States,57652,Finance,Major Banks,,,,,,,,,ABTX,Finance,
ABUS,Arbutus Biopharma Corporation Common Stock,553656369,Canada,1321780,,,,,,,,,,,ABUS,,
ABVC,ABVC Biopharma Inc. Common Stock,68304993,United States,160197,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,,,ABVC,Health Care,
ACAD,ACADIA Pharmaceuticals Inc. Common Stock,2909249873,United States,965337,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,,,ACAD,Health Care,
ACAH,Atlantic Coastal Acquisition Corp. Class A Common Stock,418743750,United States,6355,,,,,,,,,,,ACAH,,
ACAHU,Atlantic Coastal Acquisition Corp. Unit,0,United States,29516,,,,,,,,,,,ACAHU,,
ACAHW,Atlantic Coastal Acquisition Corp. Warrant,0,United States,52060,,,,,,,,,,,ACAHW,,
ACB,Aurora Cannabis Inc. Common Shares,1363099917,Canada,2369175,,,,,,,,,,,ACB,,
ACBA,Ace Global Business Acquisition Limited Ordinary Shares,60963780,Hong Kong,1601,Miscellaneous,Business Services,,,,,,,,,ACBA,Miscellaneous,
ACBAW,Ace Global Business Acquisition Limited Warrant,0,Hong Kong,21370,Miscellaneous,Business Services,,,,,,,,,ACBAW,Miscellaneous,
ACBI,Atlantic Capital Bancshares Inc. Common Stock,553458635,United States,82460,Finance,Major Banks,,,,,,,,,ACBI,Finance,
ACCD,Accolade Inc. Common Stock,2666567440,United States,463661,,,,,,,,,,,ACCD,,
ACER,Acer Therapeutics Inc. Common Stock (DE),33342869,United States,94861,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),,,,,,,,,ACER,Health Care,
ACET,Adicet Bio Inc. Common Stock ,170235605,United States,57988,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,,,ACET,Health Care,
ACEV,ACE Convergence Acquisition Corp. Class A Ordinary Shares,285775000,United States,68142,Technology,Semiconductors,,,,,,,,,ACEV,Technology,
ACEVU,ACE Convergence Acquisition Corp. Unit,0,United States,100,Technology,Semiconductors,,,,,,,,,ACEVU,Technology,
ACEVW,ACE Convergence Acquisition Corp. Warrant,0,United States,20029,Technology,Semiconductors,,,,,,,,,ACEVW,Technology,
ACGL,Arch Capital Group Ltd. Common Stock,16649480905,Bermuda,1494480,Finance,Property-Casualty Insurers,,,,,,,,,ACGL,Finance,
ACGLN,Arch Capital Group Ltd. Depositary Shares each Representing a 1/1000th Interest in a 4.550% Non-Cumulative Preferred Share Series G,0,Bermuda,19773,Finance,Property-Casualty Insurers,,,,,,,,,ACGLN,Finance,
ACGLO,Arch Capital Group Ltd. Depositary Shares Each Representing 1/1000th Interest in a Share of 5.45% Non-Cumulative Preferred Shares Series F,0,Bermuda,10401,Finance,Property-Casualty Insurers,,,,,,,,,ACGLO,Finance,
ACHC,Acadia Healthcare Company Inc. Common Stock,5246224066,United States,720631,Health Care,Hospital/Nursing Management,,,,,,,,,ACHC,Health Care,
ACHL,Achilles Therapeutics plc American Depositary Shares,253771806,United Kingdom,267664,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),,,,,,,,,ACHL,Health Care,
ACHV,Achieve Life Sciences Inc. Common Shares,78264406,United States,56285,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,,,,,,,,,ACHV,Health Care,
ACIU,AC Immune SA Common Stock,480234043,Switzerland,624146,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,,,ACIU,Health Care,
ACIW,ACI Worldwide Inc. Common Stock,3640842300,United States,982548,Technology,EDP Services,,,,,,,,,ACIW,Technology,
ACKIT,Ackrell SPAC Partners I Co. Subunits,0,United States,3525,,,,,,,,,,,ACKIT,,
ACKIU,Ackrell SPAC Partners I Co. Units,0,United States,1029,,,,,,,,,,,ACKIU,,
ACKIW,Ackrell SPAC Partners I Co. Warrants,0,United States,590,,,,,,,,,,,ACKIW,,
ACLS,Axcelis Technologies Inc. Common Stock,1812700375,United States,593358,Technology,Industrial Machinery/Components,,,,,,,,,ACLS,Technology,
ACMR,ACM Research Inc. Class A Common Stock,2052221282,United States,222945,Technology,Industrial Machinery/Components,,,,,,,,,ACMR,Technology,
ACNB,ACNB Corporation Common Stock,241668553,United States,11851,Finance,Major Banks,,,,,,,,,ACNB,Finance,
ACOR,Acorda Therapeutics Inc. Common Stock,46943909,United States,72019,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),,,,,,,,,ACOR,Health Care,
ACQR,Independence Holdings Corp. Class A Ordinary Share,605447291,United States,29225,Finance,Business Services,,,,,,,,,ACQR,Finance,
ACQRU,Independence Holdings Corp. Units,0,United States,33054,Finance,Business Services,,,,,,,,,ACQRU,Finance,
ACQRW,Independence Holdings Corp. Warrant,0,United States,860,Finance,Business Services,,,,,,,,,ACQRW,Finance,
ACRS,Aclaris Therapeutics Inc. Common Stock,1024138778,United States,190819,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,,,ACRS,Health Care,
ACRX,AcelRx Pharmaceuticals Inc. Common Stock,105521800,United States,897899,Consumer Durables,Specialty Chemicals,,,,,,,,,ACRX,Consumer Durables,
ACST,Acasti Pharma Inc. Class A Common Stock,74404147,Canada,480461,,,,,,,,,,,ACST,,
ACT,Enact Holdings Inc. Common Stock,3755090400,United States,104367,Finance,Specialty Insurers,,,,,,,,,ACT,Finance,
ACTD,ArcLight Clean Transition Corp. II Class A Ordinary Share,379618919,United States,786,,,,,,,,,,,ACTD,,
ACTDU,ArcLight Clean Transition Corp. II Unit,0,United States,1,,,,,,,,,,,ACTDU,,
ACTDW,ArcLight Clean Transition Corp. II Warrant,0,United States,13340,Finance,Business Services,,,,,,,,,ACTDW,Finance,
ACTG,Acacia Research Corporation (Acacia Tech) Common Stock,278297710,United States,247510,Miscellaneous,Multi-Sector Companies,,,,,,,,,ACTG,Miscellaneous,
ACVA,ACV Auctions Inc. Class A Common Stock,2985196381,United States,506437,Technology,EDP Services,,,,,,,,,ACVA,Technology,
ACXP,Acurx Pharmaceuticals Inc. Common Stock,53125842,United States,13650,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,,,ACXP,Health Care,
ADAG,Adagene Inc. American Depositary Shares,606260928,China,26081,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,,,ADAG,Health Care,
ADALU,Anthemis Digital Acquisitions I Corp Unit,0,United States,14538898,,,,,,,,,,,ADALU,,
ADAP,Adaptimmune Therapeutics plc American Depositary Shares,810099050,United Kingdom,324125,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,,,ADAP,Health Care,
ADBE,Adobe Inc. Common Stock,3.04E+11,United States,2083887,Technology,Computer Software: Prepackaged Software,,,,,,,,,ADBE,Technology,
ADER,26 Capital Acquisition Corp. Class A Common Stock,339281250,United States,50763,,,,,,,,,,,ADER,,
ADERU,26 Capital Acquisition Corp. Unit,0,United States,221,,,,,,,,,,,ADERU,,
ADERW,26 Capital Acquisition Corp. Warrant,0,United States,90966,,,,,,,,,,,ADERW,,
ADES,Advanced Emissions Solutions Inc. Common Stock,122923438,United States,273959,Basic Industries,Industrial Specialties,,,,,,,,,ADES,Basic Industries,
ADGI,Adagio Therapeutics Inc. Common Stock,3610116367,United States,280775,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,,,ADGI,Health Care,
ADI,Analog Devices Inc. Common Stock,3.71E+11,United States,2778886,Technology,Semiconductors,,,,,,,,,ADI,Technology,
ADIL,Adial Pharmaceuticals Inc Common Stock,67478915,United States,136856,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,,,ADIL,Health Care,
ADILW,Adial Pharmaceuticals Inc Warrant,0,United States,210,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,,,ADILW,Health Care,
ADMA,ADMA Biologics Inc Common Stock,262390515,United States,2012557,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,,,ADMA,Health Care,
ADMP,Adamis Pharmaceuticals Corporation Common Stock,154841587,United States,2881913,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,,,ADMP,Health Care,
ADMS,Adamas Pharmaceuticals Inc. Common Stock,371007242,United States,635475,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,,,ADMS,Health Care,
ADN,Advent Technologies Holdings Inc. Class A Common Stock,189870952,United States,380634,,,,,,,,,,,ADN,,
ADNWW,Advent Technologies Holdings Inc. Warrant,0,United States,173563,,,,,,,,,,,ADNWW,,
ADOC,Edoc Acquisition Corp. Class A Ordinary Share,120046680,United States,3735,Finance,Business Services,,,,,,,,,ADOC,Finance,
ADOCR,Edoc Acquisition Corp. Right,0,United States,10100,Finance,Business Services,,,,,,,,,ADOCR,Finance,
ADOCW,Edoc Acquisition Corp. Warrant,0,United States,22517,Finance,Business Services,,,,,,,,,ADOCW,Finance,
ADP,Automatic Data Processing Inc. Common Stock,94241940305,United States,1428179,Miscellaneous,Business Services,,,,,,,,,ADP,Miscellaneous,
ADPT,Adaptive Biotechnologies Corporation Common Stock,4863460083,United States,650677,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),,,,,,,,,ADPT,Health Care,
ADSK,Autodesk Inc. Common Stock,69714574841,United States,931286,Technology,Computer Software: Prepackaged Software,,,,,,,,,ADSK,Technology,
ADTN,ADTRAN Inc. Common Stock,884310597,United States,151532,Capital Goods,Telecommunications Equipment,,,,,,,,,ADTN,Capital Goods,
ADTX,Aditxt Inc. Common Stock,43594761,United States,941368,Consumer Durables,Specialty Chemicals,,,,,,,,,ADTX,Consumer Durables,
ADUS,Addus HomeCare Corporation Common Stock,1392560745,United States,114803,Health Care,Medical/Nursing Services,,,,,,,,,ADUS,Health Care,
ADV,Advantage Solutions Inc. Class A Common Stock,2749289840,United States,175127,Technology,Advertising,,,,,,,,,ADV,Technology,
ADVM,Adverum Biotechnologies Inc. Common Stock,206064319,United States,3171187,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,,,ADVM,Health Care,
ADVWW,Advantage Solutions Inc. Warrant,0,United States,22823,Technology,Advertising,,,,,,,,,ADVWW,Technology,
ADXN,Addex Therapeutics Ltd American Depositary Shares,45151564,Switzerland,572,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,,,ADXN,Health Care,
ADXS,Advaxis Inc. Common Stock,70518142,United States,4997080,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,,,ADXS,Health Care,
AEAC,Authentic Equity Acquisition Corp. Class A ordinary share,292500000,United States,1712,Finance,Business Services,,,,,,,,,AEAC,Finance,
AEACU,Authentic Equity Acquisition Corp. Unit,0,United States,348,Finance,Business Services,,,,,,,,,AEACU,Finance,
AEACW,Authentic Equity Acquisition Corp. Warrant,0,United States,3323,Finance,Business Services,,,,,,,,,AEACW,Finance,
AEHAU,Aesther Healthcare Acquisition Corp Units,0,United States,22255,,,,,,,,,,,AEHAU,,
AEHL,Antelope Enterprise Holdings Limited Common Stock (0.024 par),17425255,China,519023,Capital Goods,Building Products,,,,,,,,,AEHL,Capital Goods,
AEHR,Aehr Test Systems Common Stock,586114425,United States,2620962,Capital Goods,Electrical Products,,,,,,,,,AEHR,Capital Goods,
AEI,Alset EHome International Inc. Common Stock,82305917,United States,3831825,Consumer Services,Building operators,,,,,,,,,AEI,Consumer Services,
AEIS,Advanced Energy Industries Inc. Common Stock,3500775541,United States,200560,Consumer Durables,Electrical Products,,,,,,,,,AEIS,Consumer Durables,
AEMD,Aethlon Medical Inc. Common Stock,51852057,United States,123022,Miscellaneous,Diversified Commercial Services,,,,,,,,,AEMD,Miscellaneous,
AEP,American Electric Power Company Inc. Common Stock,42376290927,United States,2523718,Public Utilities,Electric Utilities: Central,,,,,,,,,AEP,Public Utilities,
AEPPL,American Electric Power Company Inc. Corporate Unit,0,United States,11973,Public Utilities,Electric Utilities: Central,,,,,,,,,AEPPL,Public Utilities,
AEPPZ,American Electric Power Company Inc. Corporate Units,0,United States,63938,Public Utilities,Electric Utilities: Central,,,,,,,,,AEPPZ,Public Utilities,
AERI,Aerie Pharmaceuticals Inc. Common Stock,481310853,United States,598438,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),,,,,,,,,AERI,Health Care,
AESE,Allied Esports Entertainment Inc. Common Stock,67324080,United States,152241,Consumer Services,Television Services,,,,,,,,,AESE,Consumer Services,
AEY,ADDvantage Technologies Group Inc. Common Stock,27775246,United States,26395,Capital Goods,Recreational Products/Toys,,,,,,,,,AEY,Capital Goods,
AEYE,AudioEye Inc. Common Stock,116653110,United States,52040,Technology,EDP Services,,,,,,,,,AEYE,Technology,
AEZS,Aeterna Zentaris Inc. Common Stock,72499221,Canada,959199,,,,,,,,,,,AEZS,,
AFAQ,AF Acquisition Corp. Class A Common Stock,272720000,United States,57,,,,,,,,,,,AFAQ,,
AFAQU,AF Acquisition Corp. Units,0,United States,71274,,,,,,,,,,,AFAQU,,
AFAQW,AF Acquisition Corp. Warrants,0,United States,27930,,,,,,,,,,,AFAQW,,
AFBI,Affinity Bancshares Inc. Common Stock (MD),98706831,United States,726,Finance,Major Banks,,,,,,,,,AFBI,Finance,
AFCG,AFC Gamma Inc. Common Stock,387715096,United States,146866,Consumer Services,Real Estate Investment Trusts,,,,,,,,,AFCG,Consumer Services,
AFIB,Acutus Medical Inc. Common Stock,228004696,United States,111797,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,,,,,,,,,AFIB,Health Care,
AFIN,American Finance Trust Inc. Class A Common Stock,1005003227,United States,474140,Consumer Services,Real Estate Investment Trusts,,,,,,,,,AFIN,Consumer Services,
AFINO,American Finance Trust Inc. 7.375% Series C Cumulative Redeemable Preferred Stock,0,United States,5618,Consumer Services,Real Estate Investment Trusts,,,,,,,,,AFINO,Consumer Services,
AFINP,American Finance Trust Inc. 7.50% Series A Cumulative Redeemable Perpetual Preferred Stock,0,United States,15673,Consumer Services,Real Estate Investment Trusts,,,,,,,,,AFINP,Consumer Services,
AFMD,Affimed N.V.,793822596,Germany,1225244,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,,,AFMD,Health Care,
AFRM,Affirm Holdings Inc. Class A Common Stock,44959141801,United States,7307300,Technology,EDP Services,,,,,,,,,AFRM,Technology,
AFYA,Afya Limited Class A Common Shares,1653398406,Brazil,89197,Consumer Services,Other Consumer Services,,,,,,,,,AFYA,Consumer Services,
AGBA,AGBA Acquisition Limited Ordinary Share,58452305,Hong Kong,187,Finance,Business Services,,,,,,,,,AGBA,Finance,
AGBAR,AGBA Acquisition Limited Right,0,Hong Kong,2137,Finance,Business Services,,,,,,,,,AGBAR,Finance,
AGBAW,AGBA Acquisition Limited Warrant,0,Hong Kong,21425,Finance,Business Services,,,,,,,,,AGBAW,Finance,
AGC,Altimeter Growth Corp. Class A Ordinary Shares,776875000,United States,3378732,,,,,,,,,,,AGC,,
AGCUU,Altimeter Growth Corp. Unit,0,United States,35304,,,,,,,,,,,AGCUU,,
AGCWW,Altimeter Growth Corp. Warrant,0,United States,102675,Finance,Business Services,,,,,,,,,AGCWW,Finance,
AGEN,Agenus Inc. Common Stock,909147116,United States,2829376,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),,,,,,,,,AGEN,Health Care,
AGFS,AgroFresh Solutions Inc. Common Stock,106897408,United States,34080,,,,,,,,,,,AGFS,,
AGFY,Agrify Corporation Common Stock,332841030,United States,659052,Consumer Services,Military/Government/Technical,,,,,,,,,AGFY,Consumer Services,
AGGR,Agile Growth Corp. Class A Ordinary Share,376650000,United States,6839,Finance,Business Services,,,,,,,,,AGGR,Finance,
AGGRU,Agile Growth Corp. Units,0,United States,20403,Finance,Business Services,,,,,,,,,AGGRU,Finance,
AGGRW,Agile Growth Corp. Warrant.,0,United States,120,Finance,Business Services,,,,,,,,,AGGRW,Finance,
AGIL,AgileThought Inc. Class A Common Stock,339124993,United States,99822,Technology,EDP Services,,,,,,,,,AGIL,Technology,
AGILW,AgileThought Inc. Warrant,0,United States,102725,Technology,EDP Services,,,,,,,,,AGILW,Technology,
AGIO,Agios Pharmaceuticals Inc. Common Stock,2853251100,United States,407886,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,,,AGIO,Health Care,
AGLE,Aeglea BioTherapeutics Inc. Common Stock,364059020,United States,94536,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,,,AGLE,Health Care,
AGMH,AGM Group Holdings Inc. Class A Ordinary Shares,313467947,Hong Kong,94723,Technology,EDP Services,,,,,,,,,AGMH,Technology,
AGNC,AGNC Investment Corp. Common Stock,8293552436,United States,17116596,Consumer Services,Real Estate Investment Trusts,,,,,,,,,AGNC,Consumer Services,
AGNCM,AGNC Investment Corp. Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock,0,United States,10890,Consumer Services,Real Estate Investment Trusts,,,,,,,,,AGNCM,Consumer Services,
AGNCN,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock,0,United States,49879,Consumer Services,Real Estate Investment Trusts,,,,,,,,,AGNCN,Consumer Services,
AGNCO,AGNC Investment Corp. Depositary Shares each representing a 1/1000th interest in a share of 6.50% Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock,0,United States,30787,Consumer Services,Real Estate Investment Trusts,,,,,,,,,AGNCO,Consumer Services,
AGNCP,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,0,United States,23229,Consumer Services,Real Estate Investment Trusts,,,,,,,,,AGNCP,Consumer Services,
AGRI,AgriFORCE  Growing Systems Ltd. Common Shares,45550633,Canada,9113109,,,,,,,,,,,AGRI,,
AGRIW,AgriFORCE  Growing Systems Ltd. Warrant,0,Canada,138833,,,,,,,,,,,AGRIW,,
AGRX,Agile Therapeutics Inc. Common Stock,95122990,United States,1060864,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,,,AGRX,Health Care,
AGTC,Applied Genetic Technologies Corporation Common Stock,112292349,United States,322604,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),,,,,,,,,AGTC,Health Care,
AGYS,Agilysys Inc. Common Stock,1053679148,United States,232076,Technology,Computer Software: Prepackaged Software,,,,,,,,,AGYS,Technology,
AHCO,AdaptHealth Corp. Common Stock,3516260731,United States,911698,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,,,,,,,,,AHCO,Health Care,
AHPA,Avista Public Acquisition Corp. II Class A Ordinary Shares,286925000,United States,601,,,,,,,,,,,AHPA,,
AHPAU,Avista Public Acquisition Corp. II Unit,0,United States,567,,,,,,,,,,,AHPAU,,
AHPI,Allied Healthcare Products Inc. Common Stock,21632964,United States,46982,Health Care,Industrial Specialties,,,,,,,,,AHPI,Health Care,
AIH,Aesthetic Medical International Holdings Group Ltd. American Depositary Shares,99583096,China,3160,Health Care,Medical Specialities,,,,,,,,,AIH,Health Care,
AIHS,Senmiao Technology Limited Common Stock,31651937,China,3096576,Finance,Finance: Consumer Services,,,,,,,,,AIHS,Finance,
AIKI,AIkido Pharma Inc. Common Stock,78013629,United States,3926282,Consumer Durables,Specialty Chemicals,,,,,,,,,AIKI,Consumer Durables,
AIMC,Altra Industrial Motion Corp. Common Stock,3438143340,United States,276040,Capital Goods,Industrial Machinery/Components,,,,,,,,,AIMC,Capital Goods,
AINV,Apollo Investment Corporation Common Stock,876481935,United States,245641,Finance,Finance/Investors Services,,,,,,,,,AINV,Finance,
AIP,Arteris Inc. Common Stock,541738054,United States,489654,Technology,Semiconductors,,,,,,,,,AIP,Technology,
AIRG,Airgain Inc. Common Stock,113174974,United States,48758,Technology,Radio And Television Broadcasting And Communications Equipment,,,,,,,,,AIRG,Technology,
AIRT,Air T Inc. Common Stock,78415220,United States,13337,Transportation,Air Freight/Delivery Services,,,,,,,,,AIRT,Transportation,
AIRTP,Air T Inc. Air T Funding Alpha Income Trust Preferred Securities,0,United States,1230,Transportation,Air Freight/Delivery Services,,,,,,,,,AIRTP,Transportation,
AKAM,Akamai Technologies Inc. Common Stock,17049912651,United States,839957,Miscellaneous,Business Services,,,,,,,,,AKAM,Miscellaneous,
AKBA,Akebia Therapeutics Inc. Common Stock,495686381,United States,1819003,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,,,AKBA,Health Care,
AKICU,Sports Ventures Acquisition Corp. Unit,0,United States,1880,Finance,Business Services,,,,,,,,,AKICU,Finance,
AKICW,Sports Ventures Acquisition Corp. Warrant,0,United States,4000,Finance,Business Services,,,,,,,,,AKICW,Finance,
AKRO,Akero Therapeutics Inc. Common Stock,769750597,United States,105068,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,,,AKRO,Health Care,
AKTS,Akoustis Technologies Inc. Common Stock,385362105,United States,344363,Public Utilities,Telecommunications Equipment,,,,,,,,,AKTS,Public Utilities,
AKTX,Akari Therapeutics plc ADR (0.01 USD),80915442,United Kingdom,215387,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,,,AKTX,Health Care,
AKU,Akumin Inc. Common Shares,158468055,Canada,38997,,,,,,,,,,,AKU,,
AKUS,Akouos Inc. Common Stock,300667422,United States,471102,Consumer Durables,Specialty Chemicals,,,,,,,,,AKUS,Consumer Durables,
AKYA,Akoya BioSciences Inc. Common Stock,492722028,United States,73960,Capital Goods,Medical Specialities,,,,,,,,,AKYA,Capital Goods,
ALAC,Alberton Acquisition Corporation Ordinary Shares,51835555,Hong Kong,34699,Finance,Business Services,,,,,,,,,ALAC,Finance,
ALACR,Alberton Acquisition Corporation Rights exp April 26 2021,0,Hong Kong,125708,Finance,Business Services,,,,,,,,,ALACR,Finance,
ALACU,Alberton Acquisition Corporation Unit,0,Hong Kong,4,Finance,Business Services,,,,,,,,,ALACU,Finance,
ALACW,Alberton Acquisition Corporation Warrant,0,Hong Kong,50144,Finance,Business Services,,,,,,,,,ALACW,Finance,
ALBO,Albireo Pharma Inc. Common Stock,560151920,United States,132892,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,,,ALBO,Health Care,
ALCO,Alico Inc. Common Stock,267699962,United States,84928,,,,,,,,,,,ALCO,,
ALDX,Aldeyra Therapeutics Inc. Common Stock,520776315,United States,854594,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,,,ALDX,Health Care,
ALEC,Alector Inc. Common Stock,1791390619,United States,522077,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,,,ALEC,Health Care,
ALF,ALFI Inc. Common Stock,91546674,United States,1300463,Technology,EDP Services,,,,,,,,,ALF,Technology,
ALFIW,ALFI Inc. Warrant,0,United States,10170,Technology,EDP Services,,,,,,,,,ALFIW,Technology,
ALGM,Allegro MicroSystems Inc. Common Stock,6415742516,United States,2037141,Technology,Semiconductors,,,,,,,,,ALGM,Technology,
ALGN,Align Technology Inc. Common Stock,49998488085,United States,1926931,Health Care,Industrial Specialties,,,,,,,,,ALGN,Health Care,
ALGS,Aligos Therapeutics Inc. Common Stock,692392870,United States,577308,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,,,ALGS,Health Care,
ALGT,Allegiant Travel Company Common Stock,3159665492,United States,292672,Transportation,Air Freight/Delivery Services,,,,,,,,,ALGT,Transportation,
ALHC,Alignment Healthcare Inc. Common Stock,3724875524,United States,345838,Health Care,Medical Specialities,,,,,,,,,ALHC,Health Care,
ALIM,Alimera Sciences Inc. Common Stock,31366508,United States,52323,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,,,ALIM,Health Care,
ALJJ,ALJ Regional Holdings Inc. Common Stock,47822784,United States,11450,Miscellaneous,Business Services,,,,,,,,,ALJJ,Miscellaneous,
ALKS,Alkermes plc Ordinary Shares,4668934247,Ireland,1541388,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,,,ALKS,Health Care,
ALKT,Alkami Technology Inc. Common Stock,2605139492,United States,302766,Technology,EDP Services,,,,,,,,,ALKT,Technology,
ALLK,Allakos Inc. Common Stock,5669628195,United States,188088,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,,,ALLK,Health Care,
ALLO,Allogene Therapeutics Inc. Common Stock,2438445619,United States,1612850,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),,,,,,,,,ALLO,Health Care,
ALLT,Allot Ltd. Ordinary Shares,524374181,Israel,37076,Public Utilities,Telecommunications Equipment,,,,,,,,,ALLT,Public Utilities,
ALNA,Allena Pharmaceuticals Inc. Common Stock,67911253,United States,321437,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,,,ALNA,Health Care,
